Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Haiti,Reported number of adolescents receiving ART,Female,2010,530,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Female,2011,620,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Female,2012,870,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Female,2013,1200,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Female,2014,1500,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Female,2015,1600,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Female,2016,1900,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Female,2017,2200,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Female,2018,2200,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Female,2019,2300,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
Haiti,Reported number of adolescents receiving ART,Female,2020,2400,,Number,,,,,,,,UNAIDS 2022 estimates,,,,,,10 to 19 years old
